"Standard Name",Description,Category,Status,"Deployment Type","Approval Expiration Date"
"Tableau Creator / Tableau Reader 2021","Tableau Reader 2021 this is an upgrade from our current Tableau version 2020.","Web Analytics",Approved,Desktop,2023-04-28
"Tableau Creator / Tableau Server 2021.1.x","Upgrading the Tableau Server from version 2020 to Tableau Server 2021 within the D2D environments.","Web Servers",Approved,Server,2023-04-28
"Tableau Prep 2020","Tableau Prep is an add-in for Tableau Professional Desktop 2020 and can be used in the analysis of data across the enterprise.","Web Analytics",Approved,Desktop,2022-06-06
"Tableau Professional Desktop Client 2020","This is a request for the next major version of Tableau Desktop 2020.","Web Analytics",Approved,Desktop,2022-06-06
"Tableau Reader 2020","Tableau - Suite of software tools Tableau Server, Desktop and Reader are one of our foundation analytical tools. These tools are used in the creation of Dashboard, Reports for the enterprise. This product will allow all user's access to the dashboards and report without purchasing a Tableau Desktop license.","Data Management",Approved,Desktop,2022-06-06
"Tableau Server 2020","Upgrading the Tableau Server from version 2019 to Tableau Server 2020 within the D2D environments.",Servers/Computers,Approved,Server,2022-06-06
"Tasks for Android","Tasks brings the full Google Tasks experience to Android. Sync with Google Tasks; bring all the features you are enjoying online to your Android device. Includes Due date reminders, Widgets, Multiple Google accounts, Light and dark theme, Integration into Android sharing system, Sort by rearranging or by due date.
Use Google Tasks","Miscellaneous Software",Denied,SaaS,-
"TCP Server 21.x","Basic server for receiving and saving diode JSON output data over TCP.","Building Automation",Approved,Server,2023-09-15
"TechSmith Snagit 2020","Upgrade to TechSmith Snagit 2020.",-,Approved,Desktop,2022-11-25
"TechSmith Snagit 2021","I will be creating training material for the NCMMS Region 8 Program Office Utilizing the 2021 Snagit Software.  SNAGIT 2021 - The new Snagit 2021 is your shortcut to create visual tutorials, documentation, and how-to guides.  Snagit enables everyday screen capture. It's for effective peer-to-peer communication as well as professional documentation.","Multimedia Content Management",Approved,Desktop,2023-05-26
"TechSmith Snagit 2022","To develop images, GIFs, videos and captures for technology news and content.  Snagit functions as a screen capture and recording software which provides multiple features for editing captures as well as for sharing them. The GSA use case for the software is that it will be used to develop images, GIFs, videos, and captures for technology news and content.","Multimedia Content Management",Approved,Desktop,2024-03-08
"TeeChart 8 / Pro Plugin","TeeChart is a charting library for programmers developed and managed by Steema Software of Girona, Catalonia, Spain.[1] It is available as commercial and non-commercial software.","Database Admin Tools",Denied,Desktop,-
"Tenable Nessus 8.x (Windows Based Servers)","Nessus is a vulnerability scanning platform for auditors and security analysts. Users can schedule scans across multiple scanners, use wizards to easily and quickly create policies, schedule scans and send results via email. Nessus supports many technologies including operating systems, network devices, hypervisors, databases, tablets/phones, web servers and critical infrastructure.","Vulnerabilities Scanning",Approved,Server,2022-04-25
"Tenable Nessus 8.x for Mac & Windows 10","Nessus is a vulnerability scanning platform for auditors and security analysts. Users can schedule scans across multiple scanners, use wizards to easily and quickly create policies, schedule scans and send results via email. Nessus supports many technologies including operating systems, network devices, hypervisors, databases, tablets/phones, web servers and critical infrastructure.","Vulnerabilities Scanning",Approved,Desktop,2022-08-22
"Tensorflow v 2.5.x","This is an add-in for Python and will be used in the GSA CFO Datathon to apply AI algorithms on GSA data sets.",Other,Approved,Desktop,2023-06-28
"Terraform 0.x","HashiCorp Terraform is an infrastructure as code tool that lets you define both cloud and on-prem resources in human-readable configuration files that you can version, reuse, and share. You can then use a consistent workflow to provision and manage all of your infrastructure throughout its lifecycle. Terraform can manage low-level components like compute, storage, and networking resources, as well as high-level components like DNS entries and SaaS features.
https://www.terraform.io/",Infrastructure,Approved,Server,2023-12-31
"Terraform CLI 1.x","Terraform is an open-source infrastructure as code software tool that provides a consistent CLI workflow to manage hundreds of cloud services.  Terraform codifies cloud APIs into declarative configuration files.",Infrastructure,Approved,Server,2024-03-21
